0.98	0.13	0.08	0.11	-1119	6003	-11259	16
0.98	0.12	0.08	0.11	-1756	7619	-10625	53
0.99	0.10	0.05	0.09	-2179	8303	-8867	84
0.99	0.07	0.02	0.07	-2284	7777	-6116	114
1.00	0.05	-0.02	0.05	-1692	6364	-3089	145
1.00	0.02	-0.07	0.03	-988	4183	-174	176
0.99	0.00	-0.11	0.01	43	1601	2170	206
0.99	-0.01	-0.13	0.00	1527	-1118	3837	237
0.99	-0.02	-0.15	-0.00	3122	-3770	4654	268
0.99	-0.02	-0.14	0.00	4471	-6064	4631	299
0.99	-0.00	-0.12	0.01	5624	-7645	3678	329
0.99	-0.00	-0.12	0.01	5624	-7645	3678	358
0.95	0.24	0.16	0.10	-53	2229	-10662	389
0.97	0.20	0.12	0.08	-845	2685	-5806	422
0.99	0.15	0.05	0.05	-2098	2595	-2364	453
1.00	0.09	-0.03	0.02	-2740	2785	292	484
0.99	0.04	-0.11	-0.00	-2561	2520	2512	515
0.98	0.01	-0.17	-0.01	-997	1202	2598	545
0.98	0.01	-0.18	-0.01	1733	-918	3745	576
0.99	0.04	-0.15	-0.01	4308	-3423	4498	607
0.99	0.08	-0.12	0.00	6105	-5715	4153	638
0.99	0.12	-0.08	0.02	6632	-6788	2387	668
0.99	0.16	-0.03	0.03	6116	-6748	-747	699
0.99	0.16	-0.03	0.03	6116	-6748	-747	728
0.98	0.20	-0.04	0.02	3531	-4200	1024	758
0.97	0.24	0.00	0.02	3671	-4708	52	792
0.96	0.27	0.05	0.04	3425	-4859	-1432	823
0.95	0.30	0.09	0.05	2801	-4382	-3787	854
0.94	0.32	0.12	0.07	1940	-3458	-6278	884
0.94	0.31	0.14	0.08	1105	-2287	-7024	915
0.95	0.28	0.13	0.08	185	-986	-5725	946
0.96	0.24	0.09	0.08	-798	537	-3191	976
0.98	0.19	0.04	0.07	-1852	2143	-489	1007
0.99	0.14	-0.01	0.05	-2738	3513	1681	1038
0.99	0.11	-0.06	0.04	-2895	3847	3342	1069
0.99	0.11	-0.06	0.04	-2895	3847	3342	1097
0.99	0.16	-0.00	0.04	-614	570	-517	1128
0.99	0.15	-0.02	0.04	-658	913	-111	1162
0.99	0.13	-0.04	0.04	-653	1083	339	1193
0.99	0.12	-0.05	0.03	-503	1004	573	1223
0.99	0.12	-0.05	0.03	-246	680	629	1254
0.99	0.12	-0.05	0.03	67	227	584	1284
0.99	0.12	-0.04	0.03	339	-241	558	1314
0.99	0.13	-0.03	0.03	563	-642	553	1345
0.99	0.14	-0.03	0.03	709	-928	558	1376
0.99	0.15	-0.02	0.03	760	-1020	516	1407
0.99	0.15	-0.02	0.03	760	-1020	516	1446
0.99	0.15	-0.02	0.03	760	-1020	516	1476
0.99	0.14	-0.01	0.06	-195	371	249	1507
0.99	0.14	-0.01	0.06	-191	416	246	1537
0.99	0.13	-0.01	0.06	-193	471	279	1570
0.99	0.13	-0.01	0.06	-231	503	481	1601
0.99	0.12	-0.01	0.06	-268	561	769	1631
0.99	0.12	-0.01	0.06	-337	649	1119	1662
0.99	0.11	-0.02	0.06	-428	740	1435	1692
0.99	0.11	-0.02	0.07	-503	825	1919	1723
0.99	0.10	-0.02	0.07	-566	869	2481	1754
0.99	0.10	-0.02	0.07	-593	881	2710	1783
0.99	0.10	-0.02	0.07	-557	868	2524	1814
0.99	0.10	-0.02	0.07	-557	868	2524	1844
1.00	0.05	-0.03	0.04	-16	-138	-88	1873
1.00	0.05	-0.03	0.04	-9	-124	-191	1904
1.00	0.04	-0.03	0.04	-24	-104	-208	1938
1.00	0.04	-0.03	0.04	-42	-73	-233	1968
1.00	0.04	-0.04	0.04	-67	-24	-277	1998
1.00	0.04	-0.04	0.04	-100	33	-346	2029
1.00	0.03	-0.04	0.04	-136	74	-401	2060
1.00	0.03	-0.04	0.04	-151	59	-426	2091
1.00	0.03	-0.04	0.04	-124	16	-452	2121
1.00	0.02	-0.04	0.04	-84	-11	-441	2151
1.00	0.02	-0.04	0.04	-42	-34	-422	2182
1.00	0.02	-0.04	0.04	-42	-34	-422	2210
1.00	0.02	-0.04	0.04	-73	116	-133	2241
1.00	0.02	-0.04	0.04	-49	92	-116	2272
1.00	0.02	-0.04	0.04	-32	25	-60	2303
1.00	0.02	-0.04	0.04	-13	-24	-39	2335
1.00	0.02	-0.04	0.04	-10	-65	-43	2366
1.00	0.02	-0.04	0.04	-7	-98	-34	2397
1.00	0.02	-0.05	0.04	-8	-136	-33	2427
1.00	0.02	-0.05	0.04	3	-132	-41	2457
1.00	0.02	-0.05	0.04	26	-123	-36	2488
1.00	0.02	-0.05	0.04	34	-110	-31	2519
1.00	0.02	-0.05	0.04	46	-88	-48	2549
1.00	0.02	-0.05	0.04	46	-88	-48	2578
1.00	0.05	-0.04	0.03	58	-55	-27	2609
1.00	0.05	-0.04	0.03	57	-25	102	2638
1.00	0.05	-0.04	0.03	54	-13	259	2669
1.00	0.05	-0.03	0.03	53	9	374	2700
1.00	0.05	-0.03	0.03	51	19	417	2731
1.00	0.05	-0.03	0.03	58	16	418	2763
1.00	0.05	-0.03	0.03	79	-6	363	2794
1.00	0.06	-0.03	0.03	68	-40	287	2825
1.00	0.06	-0.03	0.03	58	-101	109	2855
1.00	0.06	-0.03	0.03	62	-115	-58	2886
1.00	0.06	-0.03	0.03	70	-139	-216	2917
1.00	0.06	-0.03	0.03	70	-139	-216	2946
1.00	0.08	0.01	-0.01	122	174	707	2976
1.00	0.08	0.01	-0.01	135	250	742	3006
1.00	0.08	0.00	-0.00	49	328	724	3037
1.00	0.07	0.00	-0.00	-46	327	544	3067
1.00	0.07	0.00	-0.00	-109	351	334	3098
1.00	0.07	0.00	-0.00	-112	347	155	3129
1.00	0.07	0.00	-0.00	-70	319	86	3162
1.00	0.07	0.00	-0.00	-28	256	70	3192
1.00	0.07	0.00	-0.00	11	177	121	3223
1.00	0.07	0.00	-0.00	31	99	173	3254
1.00	0.06	0.00	-0.00	41	52	192	3285
1.00	0.06	0.00	-0.00	41	52	192	3313
1.00	0.06	0.00	-0.00	54	22	155	3344
1.00	0.06	0.00	-0.00	54	31	152	3375
1.00	0.06	0.00	-0.00	51	59	139	3404
1.00	0.06	0.00	-0.00	42	77	128	3435
1.00	0.06	0.00	-0.00	25	70	129	3466
1.00	0.06	0.00	-0.00	19	56	148	3497
1.00	0.06	0.00	-0.00	34	53	158	3527
1.00	0.06	0.00	-0.00	50	62	155	3558
1.00	0.06	0.00	-0.00	59	71	152	3591
1.00	0.06	-0.00	-0.00	46	66	138	3621
1.00	0.06	-0.00	-0.00	31	52	121	3652
